nombre;año;mes;precio;volumen
Zanahoria;2020;03;1.00;11905.00
Zanahoria;2020;04;0.92;11797.00
Zanahoria;2020;05;0.73;10882.00
Zanahoria;2020;06;0.60;10003.00
Zanahoria;2020;07;0.52;10433.00
Zanahoria;2020;08;0.62;9640.00
Zanahoria;2020;09;0.74;9192.00
Zanahoria;2020;10;0.83;9844.00
Zanahoria;2020;11;0.84;9475.00
Zanahoria;2020;12;0.68;11434.00
Zanahoria;2021;01;0.58;11950.00
Zanahoria;2021;02;0.46;11903.00
Zanahoria;2021;03;0.62;11835.00
Zanahoria;2021;04;0.62;11099.00
Zanahoria;2021;05;0.64;10200.00
Zanahoria;2021;06;0.63;9838.00
Zanahoria;2021;07;0.88;9483.00
Zanahoria;2021;08;0.75;9549.00
Zanahoria;2021;09;0.65;9909.00
Zanahoria;2021;10;0.60;10353.00
Zanahoria;2021;11;0.50;10167.00
Zanahoria;2021;12;0.51;11194.00
Zapallo;2020;01;0.85;3358.00
Zapallo;2020;02;0.87;3046.00
Zapallo;2020;03;1.35;3783.00
Zapallo;2020;04;2.26;3520.00
Zapallo;2020;05;1.83;3648.00
Zapallo;2020;06;1.39;3806.00
Zapallo;2020;07;0.99;4086.00
Zapallo;2020;08;0.99;4071.00
Zapallo;2020;09;0.97;3667.00
Zapallo;2020;10;0.92;3612.00
Zapallo;2020;11;0.83;4250.00
Zapallo;2020;12;0.96;3858.00
Zapallo;2021;01;1.25;4000.00
Zapallo;2021;02;1.34;3619.00
Zapallo;2021;03;1.31;4176.00
Zapallo;2021;04;1.22;3913.00
Zapallo;2021;05;0.95;3831.00
Zapallo;2021;06;0.92;3580.00
Zapallo;2021;07;1.14;3647.00
Zapallo;2021;08;1.67;3167.00
Zapallo;2021;09;1.78;3124.00
Zapallo;2021;10;2.03;3185.00
Zapallo;2021;11;1.35;3581.00
Zapallo;2021;12;1.06;3514.00
