eli,Precipitacion,Humedad,'Direccion del Viento','Velocidad del Viento',Temperatura_
10343,0,87,273,19,4.0
11987,0,1,233,8,2.0
12036,1,95,35,6,3.0
24932,0,80,159,28,5.0
23448,0,73,315,7,3.0
34450,0,61,347,8,4.0
35122,0,50,320,37,5.0
21848,0,19,28,12,4.0
9351,0,65,158,17,5.0
31741,0,25,168,72,7.0
11658,4,81,118,37,5.0
27989,0,53,352,50,5.0
38162,0,47,258,6,3.0
36611,0,62,32,8,3.0
11616,18,1,328,6,2.0
18106,0,94,337,11,3.0
28513,0,54,19,11,4.0
24683,0,60,116,6,4.0
11557,0,1,314,5,3.0
17148,0,68,235,41,5.0
37234,0,56,20,16,3.0
2008,0,18,114,63,6.0
12690,0,1,111,39,3.0
11191,0,95,67,6,3.0
23069,0,36,28,17,5.0
17526,0,94,117,10,3.0
7118,0,1,138,6,2.0
16133,0,51,332,14,5.0
34603,0,70,160,43,6.0
10563,0,49,338,23,4.0
15245,0,64,32,7,4.0
5657,0,40,165,29,5.0
38890,0,57,52,10,3.0
3873,0,62,296,35,4.0
5234,0,35,180,17,5.0
35230,8,1,136,28,4.0
23665,2,82,26,7,3.0
23113,0,49,34,10,3.0
34654,0,80,266,10,4.0
24375,0,80,147,32,5.0
30774,0,29,3,18,3.0
30794,0,58,351,6,3.0
26422,0,77,25,10,3.0
27940,0,51,331,27,5.0
24356,0,89,114,30,4.0
36308,23,84,335,16,5.0
41058,0,61,148,33,5.0
23881,0,92,320,7,3.0
18431,1,1,121,6,4.0
10310,0,53,40,7,4.0
22160,0,58,340,14,3.0
40523,0,88,74,7,3.0
30750,0,44,50,15,3.0
19238,0,73,181,13,5.0
39179,0,42,18,13,3.0
29829,0,50,348,10,3.0
38973,0,33,129,42,6.0
14633,0,86,240,7,3.0
1962,0,47,117,35,6.0
26337,0,1,70,5,3.0
11097,0,1,94,6,2.0
8904,0,95,166,7,4.0
15223,3,69,360,22,4.0
11109,1,1,149,9,2.0
8993,0,67,127,41,5.0
15592,0,58,141,39,6.0
11076,0,1,114,10,2.0
28343,0,67,314,11,4.0
21330,0,31,128,39,5.0
12251,0,58,126,42,5.0
1366,0,78,347,9,4.0
20084,0,53,170,26,5.0
23409,0,89,279,14,2.0
11017,0,95,169,5,2.0
22867,0,77,139,35,4.0
22217,0,22,122,66,6.0
14778,0,90,162,10,3.0
2306,0,28,17,10,3.0
