fecha,precio,volumen
29/07/19,1.29,33
30/07/19,1.33,341
31/07/19,1.2,166
01/08/19,1.2,362
02/08/19,1.23,276
03/08/19,1.19,251
04/08/19,1.19,175
05/08/19,1.2,72
06/08/19,1.31,304
07/08/19,1.2,141
08/08/19,1.39,304
09/08/19,1.37,301
10/08/19,1.2,319
11/08/19,1.13,188
12/08/19,1.05,189
13/08/19,1.02,354
14/08/19,1.02,184
15/08/19,1.2,280
16/08/19,1.39,369
17/08/19,1.34,271
18/08/19,1.27,198
19/08/19,1.2,128
20/08/19,1.33,371
21/08/19,1.37,143
22/08/19,1.39,282
23/08/19,1.37,380
24/08/19,1.37,370
25/08/19,1.36,204
26/08/19,1.34,115
27/08/19,1.2,263
28/08/19,1.31,280
29/08/19,1.39,371
30/08/19,1.39,343
31/08/19,1.37,197
01/09/19,1.22,130
02/09/19,1.06,87
03/09/19,1.02,290
04/09/19,1.05,259
05/09/19,1.12,343
06/09/19,1.06,417
07/09/19,1.02,332
08/09/19,0.98,241
09/09/19,0.94,86
10/09/19,1.02,246
11/09/19,1.02,159
12/09/19,1.18,211
13/09/19,1.2,296
14/09/19,1.2,251
15/09/19,1.3,222
16/09/19,1.39,73
17/09/19,1.57,353
18/09/19,1.39,197
19/09/19,1.57,426
20/09/19,1.39,326
21/09/19,1.39,275
22/09/19,1.48,134
23/09/19,1.57,51
24/09/19,1.53,285
25/09/19,1.9,233
26/09/19,1.76,312
27/09/19,2.13,277
28/09/19,2.13,256
29/09/19,2.29,211
30/09/19,2.45,80
01/10/19,2.31,288
02/10/19,2.31,208
03/10/19,2.48,305
04/10/19,2.31,341
05/10/19,2.27,318
06/10/19,2.2,198
07/10/19,2.13,106
08/10/19,2.08,324
09/10/19,2.13,181
10/10/19,2.27,246
11/10/19,1.94,245
12/10/19,1.76,294
13/10/19,1.85,154
14/10/19,1.94,38
15/10/19,2.27,286
16/10/19,2.31,214
17/10/19,2.36,213
18/10/19,2.5,271
19/10/19,2.13,304
20/10/19,2.13,183
21/10/19,2.13,131
22/10/19,2.16,414
23/10/19,2.13,261
24/10/19,1.94,299
25/10/19,1.9,308
26/10/19,1.94,326
27/10/19,1.94,224
28/10/19,1.94,76
29/10/19,1.99,269
30/10/19,1.94,213
31/10/19,1.99,273
01/11/19,1.94,281
02/11/19,1.94,222
03/11/19,1.94,200
04/11/19,1.94,94
05/11/19,1.99,334
06/11/19,1.94,288
07/11/19,1.9,281
08/11/19,1.94,457
09/11/19,1.76,280
10/11/19,1.67,207
11/11/19,1.57,105
12/11/19,1.57,374
13/11/19,1.53,294
14/11/19,1.57,256
15/11/19,1.39,254
16/11/19,1.39,228
17/11/19,1.41,238
18/11/19,1.44,117
19/11/19,1.76,395
20/11/19,1.71,226
21/11/19,1.81,271
22/11/19,1.57,305
23/11/19,1.62,254
24/11/19,1.78,245
