DEPARTAMENTO,PROVINICA,DISTRITO,Precio Promedio,Volumen Promedio,Temperatura,Humedad,Precipitación,Cultivo
16,61,1114,0.6,10003.0,18.55,83.16,81.35,18
16,61,1250,1.23,1684.0,18.55,83.16,81.35,14
16,61,1339,3.3,2024.0,18.55,83.16,81.35,3
18,134,919,3.3,2024.0,9.82,63.89,59.4,3
18,173,380,1.33,2925.0,9.82,63.89,59.4,11
20,156,350,0.93,4777.0,20.03,80.67,0.91,5
20,156,350,1.53,15408.0,20.03,80.67,0.91,6
20,92,549,1.53,15408.0,20.03,80.67,0.91,6
0,42,695,1.2,4245.0,22.67,65.65,0.0,17
0,103,1042,0.6,10003.0,13.12,83.51,31.9,18
1,2,21,1.33,2925.0,9.22,76.47,34.05,11
1,2,21,1.23,1684.0,9.22,76.47,34.05,14
1,2,349,1.23,1684.0,9.22,76.47,34.05,14
1,2,606,1.33,2925.0,9.22,76.47,34.05,11
1,2,606,1.23,1684.0,9.22,76.47,34.05,14
1,35,75,1.33,2925.0,9.22,76.47,34.05,11
1,58,610,1.65,1423.0,9.22,76.47,34.05,8
1,86,508,1.33,2925.0,9.22,76.47,34.05,11
2,0,895,0.6,10003.0,22.93,92.09,0.0,18
2,15,516,1.65,1423.0,22.93,92.09,0.0,8
2,15,1176,3.81,3579.0,22.93,92.09,0.0,4
2,15,1292,3.3,2024.0,22.93,92.09,0.0,3
2,15,1292,2.41,151.0,22.93,92.09,0.0,7
2,70,1345,1.65,1423.0,22.93,92.09,0.0,8
3,34,479,2.41,151.0,19.93,83.2,1.83,7
3,38,209,1.23,1684.0,19.93,83.2,1.83,14
3,38,249,1.65,1423.0,19.93,83.2,1.83,8
3,40,456,1.39,3806.0,19.93,83.2,1.83,19
3,40,694,0.6,4525.0,19.93,83.2,1.83,13
3,53,1015,1.33,2925.0,19.93,83.2,1.83,11
4,41,568,1.65,1423.0,10.93,78.1,15.5,8
4,41,568,1.19,214.2,10.93,78.1,15.5,9
4,41,1328,1.65,1423.0,10.93,78.1,15.5,8
4,60,965,1.65,1423.0,10.93,78.1,15.5,8
4,91,555,2.83,7219.0,10.93,78.1,15.5,16
4,143,419,1.65,1423.0,10.93,78.1,15.5,8
